DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-07-10,0.01002725012642891,5688.0,5631.25,18.18396861784611,10.0,0.0,0.002521253309882636,0.002521253309882636,6.356718252594146e-06,-0.0040872403262352,-0.005431131038395951,5608.280700412848,5600.748846196408,0
2024-07-11,-0.008518954214544294,5639.75,5688.0,20.8869156626532,10.0,0.0,0.008126523763192691,0.008126523763192691,6.60403884737355e-05,-0.013174025595459092,-0.017505664849912533,5613.557572288267,5589.294253860189,0
2024-07-12,0.0044230245931338175,5664.75,5639.75,21.93534473603187,10.0,0.0,0.010847518007652393,0.010847518007652393,0.00011766864692634294,-0.01758506884915234,-0.023367065701011366,5541.441521987707,5509.493375599854,0
2024-07-15,0.003216499435454878,5683.0,5664.75,20.487466659017763,10.0,0.0,0.007068151767444215,0.007068151767444215,4.9958769407624776e-05,-0.01145828339525051,-0.01522578405659939,5600.21214177991,5579.153033843117,0
2024-07-16,0.006008658239371911,5717.25,5683.0,18.856159706088587,10.0,0.0,0.00505231352667225,0.00505231352667225,2.552587197179539e-05,-0.008190378771564075,-0.010883387521143081,5636.644172471752,5621.485061367971,0
2024-07-17,-0.013781175729311812,5639.0,5717.25,20.305788379695827,10.0,0.0,0.005054726857943785,0.005054726857943785,2.555026360841825e-05,-0.008194291057907902,-0.010888586173068846,5670.592612627937,5655.334926236538,1
2024-07-18,-0.007922772559405544,5594.5,5639.0,23.02200271603448,10.0,0.0,0.010040451767510757,0.010040451767510757,0.00010081067169570988,-0.0162767220560237,-0.02162853253193491,5547.958502870782,5518.346190855339,0
2024-07-19,-0.007310596997657015,5553.75,5594.5,23.464306730142532,10.0,0.0,0.005620262740653167,0.005620262740653167,3.158735327397425e-05,-0.009111089483786977,-0.012106829288058571,5543.759511453847,5527.176701713486,0
2024-07-22,0.01021102517050565,5610.75,5553.75,26.576842303849208,10.0,0.0,0.0053768537924947365,0.0053768537924947365,2.891055670586503e-05,-0.008716495705851215,-0.011582492487712199,5505.551129764285,5489.794827484929,0
2024-07-23,-0.0020517402380448857,5599.25,5610.75,28.776765395599387,10.0,0.0,0.005349388295642139,0.005349388295642139,2.861595513755311e-05,-0.008671970990355157,-0.011523327979387547,5562.304103078562,5546.466578347774,0
