DATE,ES1_CLOSE,ES1_LN_RET,gk_VaR_ret_95,garch_VaR_ret_95,lstm_VaR_ret_95,gk_VaR_price_95,garch_VaR_price_95,lstm_VaR_price_95,sigma_implied,gk_vol_daily,garch_vol,viol_gk_ret,viol_garch_ret,viol_lstm_ret
2011-06-21,1288.0,0.011125322,-0.014443260793029,-0.015415913154008573,-0.014221366746818957,1255.485116319359,1254.2645594417863,1255.763731902202,0.00896342257174745,0.0091032776319357,0.0097163195625798,0,0,0
2011-06-22,1279.75,-0.0064258813,-0.0107996990035454,-0.015855514006346768,-0.01366341640824032,1274.1648299894175,1267.739145549193,1270.5212016403652,0.008611758435116662,0.0068068187495488,0.009993390555302,0,0,0
2011-06-23,1277.0,-0.0021511693,-0.0208716736218309,-0.015265319540907754,-0.012341568294838207,1253.316293129212,1260.3625615256244,1264.052940381395,0.007778625908052025,0.0131549684205923,0.0096214036367859,0,0,0
2011-06-24,1264.0,-0.010232281,-0.0191202415041915,-0.014869104333141581,-0.014703402037143917,1252.815396119382,1258.1526228217658,1258.361118873743,0.009267239080990069,0.0120510783054145,0.0093716776857021,0,0,0
2011-06-27,1276.25,0.009644795,-0.0183733987521328,-0.014927985501452377,-0.015801647675432975,1240.9880749781232,1245.2711660078817,1244.1836948041907,0.009959439761755527,0.0115803593301904,0.0094087892237479,0,0,0
2011-06-28,1294.5,0.01419843,-0.01555564706662,-0.014851509714219502,-0.016127062141844836,1256.5507201847106,1257.4358160599415,1255.8329132627919,0.010164541523445321,0.0098043908519739,0.0093605881746027,0,0,0
2011-06-29,1304.25,0.0075036427,-0.0089276937655082,-0.015653229257546666,-0.015201384448311919,1282.9945354714416,1274.3946619805904,1274.9706207057038,0.009581106718613218,0.005626933981525,0.0098658948148718,0,0,0
2011-06-30,1315.5,0.008588659,-0.0097794607664968,-0.015350051556744914,-0.012589880365956967,1291.5573033182668,1284.3825684089734,1287.9325812399902,0.007935131682969974,0.0061637844614016,0.0096748084098169,0,0,0
2011-07-01,1334.75,0.014527187,-0.0138432544411257,-0.015118872838016197,-0.011553298937406269,1297.41466752758,1295.760716638653,1300.3890937381282,0.007281796631597093,0.008725106491736,0.0095291014195922,0,0,0
2011-07-05,1336.75,0.0014972865,-0.0078210630529678,-0.016014887283124713,-0.012169244085421428,1324.3515525518128,1313.5443851910707,1318.6055336690401,0.007670013653277681,0.0049294483682247,0.0100938401148863,0,0,0
2011-07-06,1335.75,-0.000748363,-0.0119863310463082,-0.015250320688232007,-0.011009005872230354,1320.822916312073,1316.5187921240092,1322.1144208058106,0.006938740381596743,0.0075547274861572,0.0096119501815015,0,0,0
