https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1679234400,2023-03-19 14:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679230800,2023-03-19 13:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679227200,2023-03-19 12:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679223600,2023-03-19 11:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679220000,2023-03-19 10:00:00,DAI/USD,0.98037,0.99621,0.98000,0.99621,1900.74584,1893.5420132664
1679216400,2023-03-19 09:00:00,DAI/USD,1.00499,1.00499,0.98155,0.98155,326.01164,319.996725242
1679212800,2023-03-19 08:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,0.00000,0.0
1679209200,2023-03-19 07:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,0.00000,0.0
1679205600,2023-03-19 06:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,0.00000,0.0
1679202000,2023-03-19 05:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,0.00000,0.0
1679198400,2023-03-19 04:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,0.00000,0.0
1679194800,2023-03-19 03:00:00,DAI/USD,0.98215,0.98215,0.98215,0.98215,15.00000,14.732249999999999
1679191200,2023-03-19 02:00:00,DAI/USD,0.98265,0.98265,0.98265,0.98265,0.00000,0.0
1679187600,2023-03-19 01:00:00,DAI/USD,0.98265,0.98265,0.98265,0.98265,306.72465,301.4029773225
1679184000,2023-03-19 00:00:00,DAI/USD,1.00500,1.00500,1.00500,1.00500,0.00000,0.0
1679180400,2023-03-18 23:00:00,DAI/USD,1.00500,1.00500,1.00500,1.00500,0.00000,0.0
1679176800,2023-03-18 22:00:00,DAI/USD,1.00500,1.00500,1.00500,1.00500,0.00000,0.0
1679173200,2023-03-18 21:00:00,DAI/USD,1.00500,1.00500,1.00500,1.00500,0.00000,0.0
1679169600,2023-03-18 20:00:00,DAI/USD,1.00500,1.00500,1.00500,1.00500,15.00000,15.075
1679166000,2023-03-18 19:00:00,DAI/USD,1.00499,1.00500,1.00499,1.00500,1987.16739,1997.10322695
1679162400,2023-03-18 18:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,0.00000,0.0
1679158800,2023-03-18 17:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,0.00000,0.0
1679155200,2023-03-18 16:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,0.00000,0.0
1679151600,2023-03-18 15:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,0.00000,0.0
1679148000,2023-03-18 14:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,0.00000,0.0
1679144400,2023-03-18 13:00:00,DAI/USD,1.00498,1.00498,1.00498,1.00498,19.60000,19.697608000000002
1679140800,2023-03-18 12:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679137200,2023-03-18 11:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679133600,2023-03-18 10:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679130000,2023-03-18 09:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679126400,2023-03-18 08:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679122800,2023-03-18 07:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679119200,2023-03-18 06:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679115600,2023-03-18 05:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679112000,2023-03-18 04:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679108400,2023-03-18 03:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679104800,2023-03-18 02:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679101200,2023-03-18 01:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679097600,2023-03-18 00:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679094000,2023-03-17 23:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679090400,2023-03-17 22:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679086800,2023-03-17 21:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679083200,2023-03-17 20:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679079600,2023-03-17 19:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679076000,2023-03-17 18:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679072400,2023-03-17 17:00:00,DAI/USD,0.98276,0.98276,0.98276,0.98276,0.00000,0.0
1679068800,2023-03-17 16:00:00,DAI/USD,1.00499,1.00499,0.98276,0.98276,33.64202,33.0620315752
1679065200,2023-03-17 15:00:00,DAI/USD,0.99870,0.99870,0.99870,0.99870,0.00000,0.0
1679061600,2023-03-17 14:00:00,DAI/USD,0.99870,0.99870,0.99870,0.99870,0.00000,0.0
1679058000,2023-03-17 13:00:00,DAI/USD,0.99870,0.99870,0.99870,0.99870,0.00000,0.0
1679054400,2023-03-17 12:00:00,DAI/USD,0.99870,0.99870,0.99870,0.99870,0.00000,0.0
1679050800,2023-03-17 11:00:00,DAI/USD,0.99870,0.99870,0.99870,0.99870,0.00000,0.0
