t,sigma_next,omega,alpha,beta,shape,_fallback,vxreg1_p,vxreg2_p,_conv,_llh,ab
2006-01-11,0.006154821651122523,0.06746668536899089,0.07956893187326156,0.7559147072368124,99.98998983706136,0,,,0,-243.3647991492005,0.835483639110074
2006-01-12,0.005977689855407637,0.06924686817283204,0.0814915272850101,0.7485173394087623,99.99984225679226,0,,,0,-243.28385304930154,0.8300088666937724
2006-01-13,0.005958380348757473,0.0689244573271607,0.08125949469689611,0.7490788953705564,99.99983467656624,0,,,0,-242.76433856833225,0.8303383900674525
2006-01-16,0.005758359347112919,0.07082983370496836,0.08367514739662871,0.7406199092815631,99.7889521004418,0,,,0,-242.36859129288965,0.8242950566781918
2006-01-17,0.0056283382197378305,0.06785719177826985,0.08309626233916839,0.7477592818894689,99.99959911657238,0,,,0,-241.04880645324647,0.8308555442286374
2006-01-18,0.005630327719487425,0.06619512444620365,0.08447728719508923,0.750823897173953,97.10166311465228,0,,,0,-239.75702083396197,0.8353011843690423
2006-01-19,0.005662233344075639,0.0661771109407345,0.08569454696978791,0.7499596915640867,99.98433138764348,0,,,0,-239.52042553016722,0.8356542385338747
2006-01-20,0.005622821406051793,0.0656757670961922,0.0870221136777121,0.7501366423598016,99.87433467299027,0,,,0,-238.98826467533863,0.8371587560375137
2006-01-23,0.00633676462916088,0.00035097629206559965,4.844143573471399e-10,0.9989988408714517,17.12501109823725,0,,,0,-246.68176724300065,0.9989988413558661
2006-01-24,0.006305965058943673,0.0003326553169591167,1.4772809654219225e-11,0.998999684729377,17.35997280042651,0,,,0,-246.7188408991206,0.9989996847441498
2006-01-25,0.00626171457884698,0.0003088722602643853,5.197223601616932e-10,0.9989995065177768,17.002860546643664,0,,,0,-246.58135602735246,0.9989995070374992
2006-01-26,0.00621402057606791,0.0002822683464560368,6.501440151693618e-09,0.998999767462724,16.95354331673739,0,,,0,-246.5262670478721,0.9989997739641642
2006-01-27,0.00619846610254004,0.00026970261482974167,4.137208061324541e-09,0.9989998192106033,18.258685473735966,0,,,0,-246.89830336598476,0.9989998233478113
2006-01-30,0.006240697518780094,0.0002871661006298913,6.928428891834747e-09,0.9989995301415973,19.529889716196514,0,,,0,-247.5067836639205,0.9989995370700262
2006-01-31,0.006200066519741515,0.000269927260762244,8.583572455228241e-09,0.9989996456214735,17.72807384840338,0,,,0,-246.9387472557769,0.9989996542050459
2006-02-01,0.006171533179225116,0.0002535183476189409,1.4006747179286454e-08,0.9989997316469913,17.94657925449528,0,,,0,-246.96449362952612,0.9989997456537385
2006-02-02,0.006134579326926261,0.0002332723430633745,4.4734539842791054e-09,0.998999823545719,17.92620457608061,0,,,0,-246.90682355862802,0.998999828019173
2006-02-03,0.006241589939969974,0.0002883518695162237,9.12976331792589e-09,0.9989993676029736,17.72915754281183,0,,,0,-247.38880531485782,0.9989993767327369
2006-02-06,0.006223913895880729,0.00027704069344441283,7.205278495943173e-13,0.9989942584236726,19.069603393292265,0,,,0,-247.71551758356807,0.9989942584243932
2006-02-07,0.006184249760737778,0.00025202704008381663,3.95728589123336e-09,0.9989998085068925,19.360339287841153,0,,,0,-247.7460748731637,0.9989998124641785
2006-02-08,0.006228567228482231,0.0002741684383764095,6.989650474091568e-09,0.9989993627476444,19.915745596501807,0,,,0,-248.03237617169992,0.998999369737295
2006-02-09,0.006256804456280243,0.00028183180879323667,1.9687319790197313e-08,0.9989976719199152,22.99180328291692,0,,,0,-248.87253216481034,0.998997691607235
2006-02-10,0.006227383762416288,0.00027463573538202845,3.745577051644178e-11,0.9989995110800447,19.696023112127516,0,,,0,-247.91965305130637,0.9989995111175005
2006-02-13,0.0061849536129631524,0.0002504371866504424,3.828679229307787e-11,0.9989997095968726,19.95796664630229,0,,,0,-247.92594268683197,0.9989997096351594
2006-02-14,0.006144179481938149,0.0002292087977200379,2.9512269713760466e-10,0.9989998343132416,19.419785418499636,0,,,0,-247.74706611357166,0.9989998346083643
2006-02-15,0.006194809795568068,0.0002439647080902466,2.127978162933914e-08,0.9989996133288064,23.333517812820613,0,,,0,-249.0178850521235,0.998999634608588
2006-02-16,0.0061680930624631565,0.00023642094275359873,3.404340750505235e-09,0.9989995348794226,20.801150811866652,0,,,0,-248.32396369824187,0.9989995382837633
2006-02-17,0.006178957724216474,0.00023522062355542413,9.34901712237712e-09,0.9989991055001204,24.050216752327202,0,,,0,-249.01845869253867,0.9989991148491375
2006-02-20,0.006171471420796601,0.0002604505888651047,2.7099824209066893e-08,0.9989984363699506,21.837117635035074,0,,,0,-246.52428334510574,0.9989984634697747
2006-02-21,0.0061318032157339905,0.0002443340915120023,4.396683768289626e-09,0.9989996632789849,19.505370335078084,0,,,0,-245.88317747076889,0.9989996676756687
2006-02-22,0.006100938247438913,0.00023250152998628083,4.954938817896776e-09,0.9989997902772758,18.030669374381343,0,,,0,-245.3487593380146,0.9989997952322146
2006-02-23,0.006103501254996495,0.00024184801615369938,1.2276386354019936e-10,0.9989998180226078,16.862355406641196,0,,,0,-244.6047324152333,0.9989998181453718
2006-02-24,0.006067818402837172,0.00022807722595872862,3.6678542000323397e-11,0.9989998671557759,15.542675883402225,0,,,0,-243.98761568190955,0.9989998671924545
2006-02-27,0.006029737080026299,0.00021016668992606292,5.734224342349883e-11,0.9989999454264217,14.943082755013211,0,,,0,-243.65434340438117,0.9989999454837639
2006-02-28,0.005592045276800701,0.05779020353714494,0.0671053243317919,0.7882677159941761,24.78544686008601,0,,,0,-241.24350820807763,0.8553730403259681
2006-03-01,0.006017913682239443,0.0001927320587508768,9.176515067911977e-11,0.9989998926177285,17.118720067363476,0,,,0,-244.72197547179542,0.9989998927094936
2006-03-02,0.006056508115255962,0.0002251062699971893,6.426482440634096e-10,0.9989998114964069,16.593573254443932,0,,,0,-243.75093680783965,0.9989998121390552
2006-03-03,0.006007590591635451,0.0001986620762515112,1.3178390120990326e-11,0.9989999004338678,16.64979230658659,0,,,0,-243.6843564150712,0.9989999004470461
2006-03-06,0.005979743996016451,0.00018368325068807262,1.9090253549014427e-09,0.9989999131321499,16.7639563543032,0,,,0,-243.6463134898726,0.9989999150411752
2006-03-07,0.006001840706627563,0.0003810662718134882,7.719278904718109e-16,0.9985457462083842,15.6761697316179,0,,,0,-242.4630973566335,0.998545746208385
2006-03-08,0.005789023727952234,0.060359052690192386,0.07006357621784506,0.7783841779893276,27.984110660209566,0,,,0,-239.84602067416893,0.8484477542071727
2006-03-09,0.005664204156179237,0.05830814741580324,0.0703495846141581,0.7828405687582419,23.574403409074392,0,,,0,-239.11212389414513,0.8531901533724
2006-03-10,0.005781410503553506,0.058709962699121515,0.07035171122819647,0.7819560777095274,24.28629386351298,0,,,0,-239.16335073214023,0.8523077889377239
2006-03-13,0.005946787330756372,0.00017752472275622456,7.434733202745888e-10,0.998999927158844,15.876914673923283,0,,,0,-242.52146995280444,0.9989999279023173
2006-03-14,0.005921601192855894,0.0001747427698503183,7.755109707958291e-10,0.9989999230184371,14.298825022848932,0,,,0,-241.4240448235926,0.9989999237939481
2006-03-15,0.00612227627310473,0.0002392871931431005,1.6767694958186562e-10,0.9989995079565226,12.203525401263912,0,,,0,-245.26859719801266,0.9989995081241996
2006-03-16,0.006094911938754124,0.00022288921848238172,9.028777128779686e-11,0.9989994822924234,12.530215239480766,0,,,0,-245.3913890736629,0.9989994823827112
2006-03-17,0.006052407405553255,0.00020107504396751127,7.36110356775982e-10,0.998999812098485,12.357886093484664,0,,,0,-245.18046350186864,0.9989998128345954
2006-03-20,0.006026635970106061,0.00020134613523679838,2.8392045956303346e-09,0.9989998628582155,11.21039939391081,0,,,0,-243.72364462705923,0.9989998656974202
2006-03-21,0.0059757042547055805,0.00017359738423050586,8.898994437645821e-10,0.9989998770086852,11.351616006449671,0,,,0,-243.69573856400166,0.9989998778985847
2006-03-22,0.005970063389246169,0.00016556385072980672,1.2385568414070868e-11,0.9989997757662382,12.095674971357608,0,,,0,-244.23331167585346,0.9989997757786238
2006-03-23,0.005955002021009682,0.0001539287907053863,8.881014007934948e-10,0.9989998538728839,12.716464275871692,0,,,0,-244.58975419487555,0.9989998547609853
2006-03-24,0.0059188847534269624,0.00013971115721684628,2.457909006007181e-09,0.9989998963039198,12.107615783302618,0,,,0,-244.0038245133011,0.9989998987618288
2006-03-27,0.0059019899835244935,0.00015463318830857486,1.1442414216272734e-10,0.9989999117071786,11.206158942546466,0,,,0,-241.75169788962455,0.9989999118216027
2006-03-28,0.005849847901501611,0.00012711040672306917,5.667834922108227e-11,0.9989999163791549,11.289272739759877,0,,,0,-241.6759367622497,0.9989999164358332
